,abv,ibu,id,beer_name,style,brewery_id,brewery_name,city,state
336,0.075,22.0,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,Bonfire Brewing Company,Eagle, CO
337,0.048,30.0,1614,Wood Splitter Pilsner,Czech Pilsener,107,Bonfire Brewing Company,Eagle, CO
338,0.056,26.0,1613,Gyptoberfest,Märzen / Oktoberfest,107,Bonfire Brewing Company,Eagle, CO
339,0.07,94.0,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,Bonfire Brewing Company,Eagle, CO
340,0.047,,1548,Slow & Steady Golden Ale,American Blonde Ale,107,Bonfire Brewing Company,Eagle, CO
341,0.068,,1517,Pink-I Raspberry IPA,American IPA,107,Bonfire Brewing Company,Eagle, CO
342,0.047,,1500,Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,107,Bonfire Brewing Company,Eagle, CO
343,0.047,,1421,Live Local Golden Ale,American Blonde Ale,107,Bonfire Brewing Company,Eagle, CO
344,0.048,38.0,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,Bonfire Brewing Company,Eagle, CO
345,0.049,,1184,Dirtbag Dunkel,Munich Dunkel Lager,107,Bonfire Brewing Company,Eagle, CO
346,0.053,45.0,1183,Kindler Pale Ale,American Pale Ale (APA),107,Bonfire Brewing Company,Eagle, CO
347,0.064,,1023,Mistress Winter Wheat,Winter Warmer,107,Bonfire Brewing Company,Eagle, CO
348,0.061,,998,Tent Pole Vanilla Porter,American Porter,107,Bonfire Brewing Company,Eagle, CO
349,0.058,,997,Awry Rye Pale Ale,American Pale Ale (APA),107,Bonfire Brewing Company,Eagle, CO
350,0.058,,996,Demshitz Brown Ale,American Brown Ale,107,Bonfire Brewing Company,Eagle, CO
351,0.048,,931,Wood Splitter Pilsner (2012),Czech Pilsener,107,Bonfire Brewing Company,Eagle, CO
352,0.048,,798,Brush Creek Blonde,American Blonde Ale,107,Bonfire Brewing Company,Eagle, CO
353,0.066,72.0,633,Firestarter India Pale Ale,American IPA,107,Bonfire Brewing Company,Eagle, CO
354,0.071,16.0,2062,Noche Dulce,American Porter,231,Borderlands Brewing Company,Tucson, AZ
355,0.045,8.0,1830,Porch Rocker,Radler,300,Boston Beer Company,Boston, MA
356,0.065,45.0,1629,Rebel IPA,American IPA,300,Boston Beer Company,Boston, MA
357,0.055,,1601,Cold Snap,Witbier,300,Boston Beer Company,Boston, MA
358,0.056,,1427,Samuel Adams Winter Lager,Bock,300,Boston Beer Company,Boston, MA
359,0.049,30.0,1349,Boston Lager,Vienna Lager,300,Boston Beer Company,Boston, MA
360,0.049,30.0,1310,Boston Lager,Vienna Lager,300,Boston Beer Company,Boston, MA
361,0.053,15.0,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,300,Boston Beer Company,Boston, MA
362,0.053,7.0,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,300,Boston Beer Company,Boston, MA
363,0.049,30.0,1143,Boston Lager,Vienna Lager,300,Boston Beer Company,Boston, MA
364,0.049,35.0,1395,Hazed & Infused,American Pale Ale (APA),417,Boulder Beer Company,Boulder, CO
365,0.057,35.0,808,Hoopla Pale Ale,American Pale Ale (APA),417,Boulder Beer Company,Boulder, CO
366,0.049,35.0,81,Hazed & Infused (2010),American Pale Ale (APA),417,Boulder Beer Company,Boulder, CO
367,0.062,80.0,2596,Heavy Lifting,American IPA,31,Boulevard Brewing Company,Kansas City, MO
368,0.065,,2300,1492,American Pale Ale (APA),167,Boxcar Brewing Company,West Chester, PA
369,0.058,,2299,Mango Ginger,American IPA,167,Boxcar Brewing Company,West Chester, PA
370,0.047,,2298,Passenger,English Dark Mild Ale,167,Boxcar Brewing Company,West Chester, PA
371,0.06,52.0,2107,Plum St. Porter,American Porter,219,Bozeman Brewing Company,Bozeman, MT
372,0.057,52.0,1573,Plum St. Porter,American Porter,219,Bozeman Brewing Company,Bozeman, MT
373,0.07,80.0,1289,Bozone HopZone IPA,American IPA,219,Bozeman Brewing Company,Bozeman, MT
374,0.06,25.0,1288,Bozone Hefe Weizen,Hefeweizen,219,Bozeman Brewing Company,Bozeman, MT
375,0.055,,470,Bozone Select Amber Ale,American Amber / Red Ale,219,Bozeman Brewing Company,Bozeman, MT
376,0.052000000000000005,40.0,2167,Evil Owl,American Amber / Red Ale,207,Branchline Brewing Company,San Antonio, TX
377,0.05,,2204,Post Time Kölsch,Kölsch,195,Breakside Brewery,Portland, OR
378,0.042,9.0,1522,Agave Wheat,American Pale Wheat Ale,391,Breckenridge Brewery,Denver, CO
379,0.045,15.0,397,SummerBright Ale,American Pale Wheat Ale,391,Breckenridge Brewery,Denver, CO
380,0.062,68.0,193,Lucky U IPA,American IPA,391,Breckenridge Brewery,Denver, CO
381,0.054000000000000006,19.0,83,Avalanche Ale,American Amber / Red Ale,391,Breckenridge Brewery,Denver, CO
382,0.05,,1802,"You're My Boy, Blue",Fruit / Vegetable Beer,308,Brew Bus Brewing,Tampa, FL
383,0.07200000000000001,60.0,1801,Last Stop IPA,American IPA,308,Brew Bus Brewing,Tampa, FL
384,0.05,21.0,1800,Rollin Dirty Red Ale,Irish Red Ale,308,Brew Bus Brewing,Tampa, FL
385,0.055,28.0,1799,Are Wheat There Yet?,American Pale Wheat Ale,308,Brew Bus Brewing,Tampa, FL
386,0.058,,2619,Insert Hop Reference,American Pale Ale (APA),19,Brew Link Brewing,Plainfield, IN
387,0.053,,2468,Manitou Amber,American Amber / Red Ale,85,Brewery Terra Firma,Traverse City, MI
388,0.067,,2637,Belfort,Saison / Farmhouse Ale,10,Brewery Vivant,Grand Rapids, MI
389,0.06,,2636,Star Runner,Belgian Pale Ale,10,Brewery Vivant,Grand Rapids, MI
390,0.098,,2598,Tart Side of the Barrel,American Double / Imperial Stout,10,Brewery Vivant,Grand Rapids, MI
391,0.06,,2597,Linnaeus Mango IPA,American IPA,10,Brewery Vivant,Grand Rapids, MI
392,0.07,,2548,Beasts A'Burnin',Rauchbier,10,Brewery Vivant,Grand Rapids, MI
393,0.077,,2542,Verdun,Bière de Garde,10,Brewery Vivant,Grand Rapids, MI
394,0.065,,2541,Barrel Aged Triomphe,Belgian IPA,10,Brewery Vivant,Grand Rapids, MI
395,0.065,,2504,Cherry Doppelbock,Doppelbock,10,Brewery Vivant,Grand Rapids, MI
396,0.065,,2500,Tropical Saison,Saison / Farmhouse Ale,10,Brewery Vivant,Grand Rapids, MI
397,0.065,,2499,Beach Patrol,Witbier,10,Brewery Vivant,Grand Rapids, MI
398,0.05,,2498,Nuit Serpent,Belgian IPA,10,Brewery Vivant,Grand Rapids, MI
399,0.09,,2481,Paris,Saison / Farmhouse Ale,10,Brewery Vivant,Grand Rapids, MI
400,0.055,,2476,The Grand Army,Belgian IPA,10,Brewery Vivant,Grand Rapids, MI
401,0.059,,2467,Acidulated Trip,Saison / Farmhouse Ale,10,Brewery Vivant,Grand Rapids, MI
402,0.066,,2466,Root Stock,Rye Beer,10,Brewery Vivant,Grand Rapids, MI
403,0.041,,2465,Mind Games,Dunkelweizen,10,Brewery Vivant,Grand Rapids, MI
404,0.08199999999999999,,2433,Sous Chef,Belgian Strong Pale Ale,10,Brewery Vivant,Grand Rapids, MI
405,0.065,,2418,Dubbelicious,Dubbel,10,Brewery Vivant,Grand Rapids, MI
406,0.062,,2416,Psychopomp,Belgian Dark Ale,10,Brewery Vivant,Grand Rapids, MI
407,,,2382,Fat Paczki,Belgian Dark Ale,10,Brewery Vivant,Grand Rapids, MI
408,,,2381,Earth-Like Planets,Belgian Pale Ale,10,Brewery Vivant,Grand Rapids, MI
409,0.061,,2290,Ski Patrol,Witbier,10,Brewery Vivant,Grand Rapids, MI
410,0.063,,2241,Viking Ice Hole,Oatmeal Stout,10,Brewery Vivant,Grand Rapids, MI
